make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,url
Audi,A4,2008,Sedan,140 000 km,4,5,Albastru,Benzina,1 798 cm3,160 CP,Manuala,Fata,Euro 4,6 699,https://www.autovit.ro/autoturisme/anunt/audi-a4-ver-1-8-tfsi-ID7HBFIg.html
Ford,Tourneo Custom,2014,Monovolum,186 900 km,5,8,Gri,Diesel,2 198 cm3,125 CP,Manuala,Fata,Euro 5,15 999,https://www.autovit.ro/autoturisme/anunt/ford-tourneo-custom-ver-300-l1h1-va-limited-ID7HfhD2.html
Audi,A6 Allroad,2017,Combi,127 100 km,5,5,Negru,Diesel,2 967 cm3,218 CP,Automata,4x4 (automat),Euro 6,"22 999,68",https://www.autovit.ro/autoturisme/anunt/audi-a6-allroad-ver-3-0-tdi-quattro-s-tronic-ID7HjX6n.html
Citroën,Jumpy,2011,Monovolum,200 600 km,4,9,Alb,Diesel,1 997 cm3,120 CP,Manuala,Fata,Euro 5,6 999,https://www.autovit.ro/autoturisme/anunt/citroen-jumpy-combi-ver-l1-9-si-ID7HDs21.html
BMW,X6,2015,SUV,249 500 km,5,5,Alb,Diesel,2 993 cm3,258 CP,Automata,4x4 (automat),Euro 6,24 999,https://www.autovit.ro/autoturisme/anunt/bmw-x6-ver-xdrive30d-ID7HFYu4.html
Kia,Ceed,2021,Combi,240 300 km,5,5,Gri,Benzina,998 cm3,120 CP,Manuala,Fata,Euro 6,"9 699,36",https://www.autovit.ro/autoturisme/anunt/kia-ceed-ver-sw-1-0-t-gdi-opf-vision-ID7HGXSk.html
Opel,Astra,2005,Compacta,269 400 km,4,5,Negru,Benzina,1 598 cm3,105 CP,Manuala,Fata,Euro 4,2 699,https://www.autovit.ro/autoturisme/anunt/opel-astra-ver-classic-1-6i-ID7HsESB.html
Ford,C-Max,2006,Monovolum,298 000 km,5,5,Gri,Diesel,1 753 cm3,115 CP,Manuala,Fata,Euro 4,3 999,https://www.autovit.ro/autoturisme/anunt/ford-c-max-ver-1-8-tdci-ambiente-ID7Hr6Kn.html
Opel,Astra,2012,Combi,260 000 km,5,5,Albastru,Diesel,1 956 cm3,165 CP,Manuala,Fata,Euro 5,4 499,https://www.autovit.ro/autoturisme/anunt/opel-astra-ver-2-0-cdti-dpf-edition-ID7HurHH.html
Nissan,Qashqai,2016,SUV,213 000 km,5,5,Negru,Benzina,1 197 cm3,115 CP,Manuala,Fata,Euro 5,8 999,https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-ver-1-2-dig-t-start-stop-acenta-ID7Hxyis.html
Volvo,XC 60,2020,SUV,162 507 km,5,5,Alb,Diesel,1 969 cm3,150 CP,Manuala,Fata,Euro 6d-Temp,22 748,https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ver-d3-momentum-pro-ID7HHYVf.html
Audi,Q7,2017,SUV,220 000 km,5,7,Alb,Diesel,2 967 cm3,272 CP,Automata,4x4 (automat),Euro 6,21 500,https://www.autovit.ro/autoturisme/anunt/audi-q7-ID7HIRYq.html
Volkswagen,ARTEON,2019,Compacta,170 990 km,5,5,Gri,Benzina,1 984 cm3,190 CP,Automata,Fata,Euro 6,24 990,https://www.autovit.ro/autoturisme/anunt/volkswagen-arteon-ver-2-0-tsi-dsg-r-line-edition-ID7HFroY.html
BMW,X3,2022,SUV,90 000 km,5,5,Negru,Hibrid Plug-In,1 998 cm3,292 CP,Automata,4x4 (automat),Euro 6b,35 490,https://www.autovit.ro/autoturisme/anunt/bmw-x3-ver-xdrive30e-at-phev-ID7HHIIn.html
Mercedes-Benz,CLA,2014,Sedan,192 000 km,4,5,Alb,Diesel,1 796 cm3,136 CP,Automata,Fata,Euro 5,15 190,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-cla-ver-200-cdi-7g-dct-ID7HFa2L.html
BMW,Seria 3,2020,Sedan,111 000 km,4,5,Negru,Hibrid Plug-In,1 998 cm3,292 CP,Automata,Spate,Euro 6,"26 990,01",https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-330e-aut-sport-line-ID7HFaAg.html
Ford,Galaxy,2011,SUV,237 000 km,5,7,Negru,Diesel,1 997 cm3,140 CP,Manuala,Fata,Euro 5,6 990,https://www.autovit.ro/autoturisme/anunt/ford-galaxy-ver-2-0-tdci-dpf-titanium-ID7HFNe4.html
Audi,Q5,2013,SUV,207 652 km,5,5,Negru,Diesel,1 968 cm3,177 CP,Manuala,4x4 (manual),Euro 5,14 350,https://www.autovit.ro/autoturisme/anunt/audi-q5-ID7HI0Y4.html
Hyundai,Tucson,2021,SUV,90 930 km,5,5,Negru,Hibrid Plug-In,1 598 cm3,265 CP,Automata,4x4 (automat),Euro 6,27 990,https://www.autovit.ro/autoturisme/anunt/hyundai-tucson-ver-phev-1-6-l-265-cp-4wd-6at-luxury-ID7HHFhY.html
Mercedes-Benz,C,2024,Sedan,15 500 km,4,5,Gri,Diesel,1 993 cm3,197 CP,Automata,Spate,Euro 6d,"43 547,90",https://www.autovit.ro/autoturisme/anunt/mercedes-benz-c-ver-220-d-9g-tronic-avantgarde-advanced-ID7HtjsQ.html
BMW,Seria 3,2021,Sedan,72 000 km,4,5,Gri,Benzina,1 998 cm3,184 CP,Automata,Spate,Euro 6,"24 502,50",https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-at-ID7HG3es.html
Toyota,RAV4,2023,SUV,46 687 km,5,5,Gri,Benzina,1 987 cm3,175 CP,Automata,Fata,Euro 6,"29 500,01",https://www.autovit.ro/autoturisme/anunt/toyota-rav-4-ver-2-0p-cvt-awd-dynamic-ID7HFL9R.html
Volkswagen,Passat,2020,Sedan,143 698 km,5,5,Argint,Benzina,1 498 cm3,150 CP,Automata,Fata,Euro 6,17 990,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ID7HGVrs.html
Audi,Q7,2015,SUV,257 000 km,5,5,Gri,Diesel,2 967 cm3,272 CP,Automata,4x4 (automat),Euro 6,23 990,https://www.autovit.ro/autoturisme/anunt/audi-q7-ver-3-0-tdi-quattro-tiptronic-ID7HIRXz.html
Renault,Espace,2020,Monovolum,93 200 km,5,7,Albastru,Diesel,1 997 cm3,160 CP,Automata,Fata,Euro 6,"20 498,61",https://www.autovit.ro/autoturisme/anunt/renault-espace-ver-blue-dci-160-edc-business-edition-ID7HH9ck.html
Renault,Talisman,2020,Combi,80 670 km,5,5,Albastru,Diesel,1 997 cm3,160 CP,Automata,Fata,Euro 6,"15 998,62",https://www.autovit.ro/autoturisme/anunt/renault-talisman-ver-grandtour-blue-dci-160-edc-business-edition-ID7HGV1c.html
Mercedes-Benz,GLC Coupe,2022,SUV,160 000 km,5,5,Rosu,Hibrid Plug-In,1 950 cm3,306 CP,Automata,4x4 (automat),Euro 5,31 999,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-glc-coupe-ver-300-de-4matic-9g-tronic-amg-line-ID7HI8M4.html
Skoda,Octavia,2020,Combi,214 600 km,5,5,Negru,Diesel,1 968 cm3,115 CP,Manuala,Fata,Euro 6,"14 989,99",https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ver-combi-2-0-tdi-style-ID7HI8ix.html
BMW,Seria 5,2019,Sedan,203 000 km,4,5,Negru,Hibrid Plug-In,1 998 cm3,252 CP,Automata,Spate,Euro 6,20 490,https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ID7HIQMt.html
